puan,id,Sehir Tag,Universite Tag,Bolum,ikinci okul,lise bolum,Universite Turu,Sinif,Not Ortalamasi,lise tur,anne egitim,baba egitim,kulup,stk proje,girisim,ingilizce,cinsiyet,anne calisma,baba calisma,yas,Basvuru Yili,Kardes Sayisi
52,0,14,126,4,0,342,1,3,1,1,1,1,1,1,0,0,1,3,1,20.0,2014,1
30,1,81,126,40,0,342,1,3,2,1,1,2,0,1,1,0,1,2,1,21.0,2014,1
18,2,81,279,3,0,131,1,1,0,2,5,5,1,0,0,0,1,3,2,28.0,2014,6
40,3,81,156,4,0,404,1,3,2,3,5,1,1,1,0,0,1,3,1,23.0,2014,10
24,4,14,272,52,0,474,1,-5,2,4,5,1,0,0,0,0,1,3,1,,2014,1
37,5,81,160,46,0,120,1,3,1,4,6,2,1,0,0,0,1,3,2,22.0,2014,3
18,6,81,150,6,0,404,1,2,2,1,1,0,0,0,0,0,1,3,4,20.0,2014,1
24,7,81,98,4,0,404,1,1,2,1,3,5,0,1,0,0,1,3,3,21.0,2014,1
40,8,81,43,3,0,488,1,2,3,1,4,4,0,1,1,0,1,3,2,,2014,4
31,9,81,160,4,0,199,1,4,1,1,1,2,0,0,0,0,1,2,2,23.0,2014,1
28,10,95,234,8,0,117,1,1,0,1,3,3,1,1,0,0,1,3,1,19.0,2014,2
26,11,81,100,3,0,404,1,3,2,4,3,1,1,0,0,0,1,3,2,21.0,2014,2
58,12,14,126,1,0,404,1,3,1,3,1,1,1,1,0,0,1,2,2,21.0,2014,1
28,13,14,48,25,1,154,1,2,1,2,3,1,0,1,1,0,1,3,1,22.0,2014,4
34,14,81,71,3,0,173,1,2,2,1,6,5,1,1,0,0,1,3,3,22.0,2014,10
33,15,84,175,4,0,199,1,3,1,1,1,2,1,0,0,0,1,1,2,22.0,2014,1
48,16,88,294,6,0,404,1,3,1,1,4,4,1,1,1,0,1,3,1,22.0,2014,3
33,17,81,156,4,0,404,1,1,0,1,1,1,1,0,0,0,1,2,2,,2014,1
10,18,84,286,4,0,342,1,1,0,1,4,1,0,0,0,0,1,3,2,19.0,2014,1
24,19,141,126,4,0,404,1,1,0,1,5,5,1,0,0,0,1,3,1,19.0,2014,1
8,20,93,134,13,0,487,1,3,0,1,3,3,0,0,0,0,1,3,2,,2014,5
54,21,100,263,3,0,173,1,-1,0,1,3,3,1,1,0,0,1,3,2,19.0,2014,2
14,22,64,100,3,0,313,1,-5,2,1,5,3,0,0,1,0,1,3,1,25.0,2014,4
24,23,81,288,62,0,404,1,3,1,1,5,3,0,0,0,0,1,3,1,22.0,2014,3
44,24,84,169,3,0,225,1,1,1,1,1,1,1,0,0,0,0,1,2,20.0,2014,1
60,25,81,138,95,0,342,1,4,1,3,3,0,0,0,0,0,0,2,4,21.0,2014,1
42,26,81,126,4,0,316,1,4,1,1,2,2,1,1,1,0,1,2,2,,2014,0
26,27,38,160,3,0,173,1,2,2,1,1,1,0,0,0,0,1,2,2,19.0,2014,1
22,28,81,126,19,0,342,1,1,3,1,3,3,0,0,0,0,1,1,2,20.0,2014,1
14,29,81,143,46,0,508,1,2,2,1,3,4,0,0,0,0,1,3,1,20.0,2014,2
28,30,126,51,19,0,173,1,2,0,1,5,1,1,1,0,0,1,3,2,19.0,2014,1
16,31,81,39,22,0,173,1,4,1,1,4,4,0,0,0,0,1,3,1,22.0,2014,3
29,32,81,235,19,0,199,1,3,2,1,3,3,1,0,0,0,1,3,1,21.0,2014,4
8,33,84,169,14,0,404,1,1,0,1,3,3,0,0,1,0,1,3,1,,2014,0
28,34,81,138,3,0,474,1,1,0,1,5,3,0,0,1,0,0,3,1,,2014,2
46,35,84,196,4,0,342,1,3,1,1,1,1,1,0,0,0,1,1,2,22.0,2014,0
28,36,81,235,54,1,288,1,4,1,2,5,5,0,0,0,0,0,2,1,22.0,2014,1
22,37,128,235,12,0,342,1,3,3,4,1,1,0,0,0,0,0,2,2,,2014,1
26,38,119,117,3,0,173,1,2,1,1,3,3,0,0,0,0,0,2,1,19.0,2014,2
41,39,84,175,45,0,201,1,3,1,1,4,5,1,1,0,0,1,2,2,,2014,1
50,40,81,130,1,0,404,1,3,2,1,3,3,0,1,0,0,0,1,2,21.0,2014,0
44,41,81,272,14,0,342,1,-2,2,1,3,1,0,1,1,0,0,1,1,24.0,2014,1
53,42,81,138,70,0,474,1,2,1,1,3,1,1,0,0,0,0,2,2,19.0,2014,0
34,43,81,38,6,0,493,1,4,3,1,3,1,0,1,0,0,0,3,2,,2014,1
42,44,84,169,38,0,404,1,-1,0,1,3,1,1,1,0,0,0,3,2,19.0,2014,2
36,45,81,233,54,0,173,1,2,2,1,6,5,0,1,0,0,0,3,1,,2014,7
24,46,81,136,3,0,67,1,2,2,2,5,5,0,1,0,0,1,3,2,20.0,2014,3
40,47,16,275,99,0,474,1,4,1,1,3,3,1,0,1,0,0,3,2,,2014,1
44,48,81,43,6,0,231,1,4,2,4,2,2,0,1,1,0,0,2,2,22.0,2014,0
18,49,14,48,31,0,474,1,3,0,1,3,1,0,0,0,0,0,3,2,21.0,2014,1
44,50,16,247,3,0,404,1,3,0,1,1,1,1,1,1,0,0,1,2,21.0,2014,1
44,51,81,98,13,0,173,1,3,2,1,5,5,1,0,1,0,0,3,2,,2014,1
28,52,14,126,46,0,212,1,1,0,1,3,0,0,0,0,0,0,2,4,21.0,2014,1
52,53,81,126,4,0,404,1,3,1,3,1,1,1,1,0,0,0,2,2,21.0,2014,1
34,54,81,133,0,0,173,1,2,3,1,5,0,0,0,0,0,0,3,4,22.0,2014,1
32,55,81,235,3,0,513,1,2,1,1,4,5,0,0,0,0,0,2,2,20.0,2014,1
32,56,81,208,16,0,422,1,3,1,1,1,2,0,0,0,0,0,2,2,,2014,1
52,57,14,277,1,0,342,1,2,1,1,3,3,1,1,0,0,0,3,2,20.0,2014,3
38,58,81,235,3,1,173,1,1,0,1,3,0,0,0,0,0,0,2,4,23.0,2014,1
18,59,81,48,99,0,342,1,2,0,1,4,0,0,0,0,0,0,3,4,21.0,2014,1
34,60,81,133,0,0,513,1,3,3,1,4,0,0,0,0,0,0,3,4,23.0,2014,1
44,61,81,265,12,0,474,1,2,3,1,5,5,1,0,1,0,1,1,2,22.0,2014,2
14,62,105,202,14,0,173,1,2,2,1,5,1,0,0,0,0,1,3,1,20.0,2014,3
32,63,81,265,33,0,325,1,3,2,1,5,5,1,0,0,0,1,3,1,23.0,2014,3
42,64,81,196,14,0,565,1,4,3,4,1,1,1,0,1,0,1,2,2,24.0,2014,0
48,65,81,134,77,0,474,1,3,1,1,3,1,1,1,1,0,1,2,2,,2014,2
29,66,14,126,4,0,342,1,3,2,4,1,1,1,0,0,0,1,2,2,20.0,2014,1
30,67,119,75,72,0,3,1,2,1,1,3,1,1,0,0,0,1,1,1,20.0,2014,0
20,68,81,43,87,0,404,1,1,0,4,1,1,0,1,1,0,1,1,2,19.0,2014,1
12,69,119,134,3,0,173,1,2,3,1,3,3,0,0,0,0,1,2,2,22.0,2014,1
46,70,84,169,3,0,449,1,4,1,1,3,3,1,1,1,0,0,3,1,,2014,3
48,71,119,100,0,0,474,1,2,0,4,5,3,1,1,0,0,0,3,1,22.0,2014,3
