Bölüm,Label
%30 INGILIZCE IKTISAT,1
%30 INGILIZCE MAKINE MUHENDSLIGI,2
(ANA DAL) MEDYA VE GORSEL SANATLAR - (CIFT ANADAL) PSIKOLOJI,3
(BWL )ALMACA ISLETME,4
(INGILIZCE) BANKACILIK VE FINANS,5
(INGILIZCE) IKTISAT,6
(INGILIZCE) PSIKOLOJIK DANISMANLIK VE REHBERLIK,7
-,8
......,9
.YONETIM BILISIM SISTEMLERI,10
1-ULUSLARARASI ILISKILER (ING) 2-EKONOMI (ING),11
1.ANADAL METEOROLOJI MUHENDISLIGI 2.ANADAL TEKSTIL MUHENDISLIGI,12
2,13
2 BOLUM OKUYORUM. BIRI VETERINER HEKIMLIK DIGERI ANESTEZI.,14
"2 UNIVERSITE AYNI ANDA OKUYORUM, TEKSTIL MUHENDISLIGI VE ISLETME ANADOLU UNIV",15
2. BOLUM TERCIH ETMEDIM AMA ETMEK ISTIYORUM.,16
2017 YILINDA ISTANBUL MEDIPOL UNIVERSITESINE KAYIT OLDUM. 2020'DE USTUN BASARI SAGLAYAN OGRENCILERE YONELIK OLAN CIFT ANADAL PROGRAMI KAPSAMINDA OKUL ONCESI OGRETMENLIGI LISANS PROGRAMINA KAYIT OLDUM.,17
2017 YILLINDA MARDIN ARTUKLU UNIVERSITESI EDEBIYAT FAKULTESI %30 ZORUNLU INGILIZCE FELSEFE BOLUMUNU KAZANDIM 2 YIL INGILIZCE HAZIRLIK OKUDUKTAN SONRA AYNI UNIVERSITENIN IKTISADI VE IDARI BILIMLER FAKULTESI ISLETME BOLUMUNE YATAY GECIS YAPTIM.,18
3. SINIF,19
AB IKTISADI,20
AB SIYASETI VE ULUSLARARASI ILISKILER TEZLI YUKSEK LISANS,21
ACI DURUM VE AFET YONETIMI,22
ACIK OGRETIM FAKULTESINDEYIM BOLUMUM ILAHIYAT,23
ACIK OGRETIM FAKULTESTERK,24
ACIKOGRETIM ESKISEHIR ANADOLU UNIVERSITESI,25
ACIL,26
ACIL AFET DURUM VE YONETIMI,27
ACIL DURUM AFET YONETIMI,28
ACIL DURUM VE AFET YONETIMI,29
ACIL TIP TEKNISYENI,30
ACIL TIP TEKNISYENLIGI,31
ACIL YARDIM AFET YONETIMI,32
ACIL YARDIM VE AFET YONETICILIGI,33
ACIL YARDIM VE AFET YONETIM,34
ACIL YARDIM VE AFET YONETIMI,35
ACIL YARDIM VE AFET YONETIMI (YUKSEKOKUL),36
ACIL YARDIM VE AFET YONETIMI (YUKSEKOKUL)(IKINCI OGRETIM),37
ADALE,38
ADALET,39
ADALET BOLUMU,40
ADALET BOLUMU AOF,41
ADALET M.Y.O,42
ADALET MESLEK YUKSEKOKULU,43
ADALET PROGRAMI,44
ADALET(ACIKOGRETIM),45
ADASDASDA,46
ADIYAMAN UNIVERSITESI EGITIM FAKULTESI FEN BILGISI OGRETMENLIGI,47
ADLI BILIMLER,48
ADLI BILIMLER & YAZILIM MUHENDISLIGI,49
ADLI BILISIM MUHENDISLIGI,50
ADLI BILISIM MUHENDISLIGI-SIBER GUVENLIK,51
AGAC ISLERI ENDUSTRI MUHENDISLIGI,52
AGAC ISLERI ENDUSTRI MUHENDISLIGI (M.T.O.K.),53
AGAC ISLERI ENDUSTRI MUHENDISLIGI (TEKNOLOJI FAKULTESI),54
AGIZ DIS,55
AGIZ VE DIS S,56
AGIZ VE DIS SAGL,57
AGIZ VE DIS SAGLIGI,58
AGIZ VE DIS SAGLIGI (TYT 2 YILLIK BOLUM),59
AGIZ VE DIS SAGLIGI BOLUMU,60
"AGIZ VE DIS SAGLIGI BOLUMU AYNI ZAMANDA ANESTEZI BOLUMU OKUYORUM, CIFT ANADAL OGRENCISIYIM",61
AGIZ VE DIS SAGLIGI P,62
AGIZ VE DIS SAGLIGI TEKNIKERLIG,63
AILE VE TUKETICI BILIMLER,64
AILE VE TUKETICI BILIMLERI,65
AKILLI ULASIM SISTEMLERI YL,66
AKTUERYA,67
AKTUERYA (YUKSEKOKUL),68
AKTUERYA BIL,69
AKTUERYA BILIMI,70
AKTUERYA BILIMLERI,71
AKTUERYA VE RISK YONETIMI,72
ALMAN DIL VE EDEBIYATI,73
ALMAN DILI OGRETMENLIGI,74
ALMAN DILI VE EDEBIYATI,75
ALMAN DILI VE EDEBIYATI AYRIYETTEN IKINCI UNIVERSITE KAPSAMINDA ACIKTAN DA IKINCI UNIVERSITEMDE DIS TICARET OKUYORUM,76
ALMAN DILI VE EDEBIYATI(IKINCI OGRETIM),77
"ALMAN DILI VE EDEBIYATI, ULUSLARARASI ILISKILER (2021-2022 EGITIM/OGRETIM YILINDA, 2.SINIFTA OLACAGIM.)",78
ALMAN DILI VEEDEBIYATI,79
ALMANCA - INGILIZCE MUTERCIM TERCUMANLIK,80
ALMANCA CEVIRIBILIM,81
ALMANCA ISLETM,82
ALMANCA ISLETME,83
ALMANCA ISLETME ENFORMAT,84
ALMANCA ISLETME ENFORMATIGI,85
ALMANCA MUTERCIM - TERCUMANLIK,86
ALMANCA MUTERCIM TERCUMANLIK,87
ALMANCA MUTERCIM VE TERCUMANLI,88
ALMANCA MUTERCIM VE TERCUMANLIK,89
ALMANCA OGRETMENLIGI,90
"ALMANCA, INGILIZCE MUTERCIM VE TERCUMANLIK",91
ALMANCAOGRETMENLIGI,92
ALTERNATIF ENEJI KAYNAKLARI,93
ALTERNATIF ENERJI KAYNAKLARI,94
ALTERNATIF ENERJI KAYNAKLARI (IO),95
ALTERNATIF ENERJI KAYNAKLARI TEKNOLOJISI,96
ALTERNATIF ENERJI KAYNAKLARI VE TEKNOLOJISI,97
AMALIYATHANE HIZMETLERI,98
AMELIYATHANA HIZMETLERI,99
AMELIYATHANE HIZMETLERI,100
AMELIYATHANE HIZMETLERI 2,101
AMELIYATHANE HIZZMETLERI,102
AMELİYATHANE HİZMETLERİ,103
AMERICAN CULTURE AND LITERATURE,104
AMERIKA KULTURU VE EDEBIYATI,105
AMERIKAN KULTUR EDEBIYATI,106
AMERIKAN KULTUR VE EDEBIYA,107
AMERIKAN KULTUR VE EDEBIYATI,108
AMERIKAN KULTURU VE EDEB,109
AMERIKAN KULTURU VE EDEBIYATI,110
AMERIKAN KULTURU VE EDEBIYATI / ISLETME,111
ANA BOLUM : BILGISAYAR MUHENDISLIGI CIFT ANADAL PROGRAMI: ENDUSTRI MUHENDISLIGI,112
ANA DAL-BESLENME VE DIYETETIK IKINCI ANADAL-PSIKOLOJI,113
"ANA DAL: ISLETME, YAN DAL: YAZILIM GELISTIRME",114
ANA DAL: MAKINA MUHENDISLIGI / YAN DAL:MEKATRONIK,115
"ANA DAL: YENI MEDYA VE GAZETECILIK, CAP: REKLAM TASARIM VE ILETISIMI",116
ANA DAL: YENI MEDYA VE GAZETECILIK. CAP: REKLAM TASARIM VE ILETISIMI,117
ANADAL - MUTERCIM TERCUMANLIK (INGILIZCE) / YANDAL - PSIKOLOJI,118
"ANADAL SOSYOLOJI, YANDAL PSIKOLOJI BOLUMU",119
"ANADAL- BANKACILIK VE FINANS, CIFT ANADAL- YONETIM BILISIM SISTEMLERI",120
"ANADAL: ULUSLARARASI ILISKILER, YANDAL: GIRISIMCILIK",121
ANADOLU UNIVERSITESI ACIK OGRETIM /WEB TASARIMI VE KODLAMA,122
ANADOLU UNIVERSITESI INSAN KAYNAKLARI,123
ANADOLU UNIVERSITESI/ HAVACILIK YONETIMI,124
ANEST,125
ANESTE,126
ANESTEZ,127
ANESTEZI,128
ANESTEZI OT.,129
ANESTEZI PROGRAMI,130
ANESTEZI TEKNIKERI,131
ANESTEZI TEKNIKERLIGI,132
ANIMASYON TASARIMI,133
ANKARA UNIVERSITESI HUKUK FAKULTESI,134
ANORGANIK KIMY,135
ANTIK YUNAN DILI VE EDEBIYATI,136
ANTOPOLOJI,137
ANTR,138
ANTRENORLUK,139
ANTRENORLUK BOLUMU,140
ANTRENORLUK BOLUMU S,141
ANTRENORLUK EGI,142
ANTRENORLUK EGITIMI,143
ANTRENORLUK EGITIMI - YUKSEK LISANS,144
ANTRENORLUK EGITIMI BOLUMU,145
ANTRENORLUKTE,146
ANTROPOLOJ,147
ANTROPOLOJI,148
ARAP DILI EDEBIYA,149
